chr	start	end	name	strand	source	rank_peco	pve_peco
hs3	197676858	197683481	RPL35A	+	H. sapiens	88	0.0181059498267319
hs17	72199721	72206794	RPL38	+	H. sapiens	89	0.0177900917587508
hs5	169010638	169031782	SPDL1	+	H. sapiens	90	0.0172494067039737
hs1	36185819	36235568	CLSPN	-	H. sapiens	91	0.0172280482458519
hs15	48623208	48635570	DUT	+	H. sapiens	92	0.0171246814228653
hs19	4402659	4445015	CHAF1A	+	H. sapiens	93	0.0171171214496257
hs1	200520628	200589862	KIF14	-	H. sapiens	94	0.0167754351263972
hs17	7833663	7835441	TRAPPC1	-	H. sapiens	95	0.0167342710416148
hs2	47387221	47403740	CALM2	-	H. sapiens	96	0.0167089200593558
hs19	46190712	46195827	SNRPD2	-	H. sapiens	97	0.016707395096904
hs14	31028329	31089269	G2E3	+	H. sapiens	98	0.0166674748223559
hs1	78409740	78444794	FUBP1	-	H. sapiens	99	0.0165890376117903
hs10	32297938	32345359	KIF5B	-	H. sapiens	100	0.0163679028336512
hs15	90808891	90816463	NGRN	+	H. sapiens	101	0.0163465607965363
hs17	36908989	36920484	PSMB3	+	H. sapiens	102	0.0159863445446393
hs1	153606525	153618782	CHTOP	+	H. sapiens	103	0.0158695532145151
hs17	43002077	43025082	KIF18B	-	H. sapiens	104	0.0156938033545813
hs6	49431091	49460820	CENPQ	+	H. sapiens	105	0.0155996630792684
hs16	46690054	46723430	VPS35	-	H. sapiens	106	0.0155138538559136
hs3	172468472	172539264	ECT2	+	H. sapiens	107	0.0151927372803241
hs2	242615157	242626406	DTYMK	-	H. sapiens	108	0.0149283654306719
hs3	149235022	149454501	WWTR1	-	H. sapiens	109	0.0148497354294291
hs3	160117062	160152750	SMC4	+	H. sapiens	110	0.0146806324208762
hs7	73588575	73611431	EIF4H	+	H. sapiens	111	0.0146054344686429
hs3	52027616	52029958	RPL29	-	H. sapiens	112	0.0145545249317068
hs22	20301799	20307603	DGCR6L	-	H. sapiens	113	0.0144894698061332
hs2	27665233	27669348	KRTCAP3	+	H. sapiens	114	0.0143896812042369
hs1	24018269	24022915	RPL11	+	H. sapiens	115	0.0142035637960881
hs2	9983483	10074545	TAF1B	+	H. sapiens	116	0.0140809859049352
hs10	91342745	91405215	PANK1	-	H. sapiens	117	0.0140135899600998
hsX	135930163	135962923	RBMX	-	H. sapiens	118	0.0139418396667671
hs17	40925454	40931617	VPS25	+	H. sapiens	119	0.0139265298684673
hs14	78174414	78227447	SLIRP	+	H. sapiens	120	0.0136214400825895
hs9	19375713	19380252	RPS6	-	H. sapiens	121	0.0135436810719749
hs9	91933421	91974557	SECISBP2	+	H. sapiens	122	0.0133038648275696
hs1	145516252	145523730	PEX11B	+	H. sapiens	123	0.0128830520180834
hs14	57670518	57735726	EXOC5	-	H. sapiens	124	0.012548803258757
hs19	18682540	18688360	UBA52	+	H. sapiens	125	0.0125007066056818
hs11	122928197	122933938	HSPA8	-	H. sapiens	126	0.0121976423387057
hs1	19665267	19812066	CAPZB	-	H. sapiens	127	0.0121892624086116
hs2	200775979	200820658	C2orf69	+	H. sapiens	128	0.011972696564548
hs12	96394606	96437298	LTA4H	-	H. sapiens	129	0.0119332464119899
hs3	179280668	179306196	ACTL6A	+	H. sapiens	130	0.011873817331478
hs3	127317066	127341276	MCM2	+	H. sapiens	131	0.0118109486967823
hs11	58874658	58894883	FAM111B	+	H. sapiens	132	0.0116289558096226
hs4	1723227	1746898	TACC3	+	H. sapiens	133	0.0115818111717962
hs14	105219437	105234831	SIVA1	+	H. sapiens	134	0.0115806327119763
hs12	49717019	49725514	TROAP	+	H. sapiens	135	0.0115191528419709
hs14	51706880	51722759	TMX1	+	H. sapiens	136	0.0115185909918427
hs10	81107225	81115093	PPIF	+	H. sapiens	137	0.0114657823485546
hs6	153291664	153304714	FBXO5	-	H. sapiens	138	0.0114238131669958
hs1	23630264	23670829	HNRNPR	-	H. sapiens	139	0.0113312868861968
hs2	74362525	74375121	BOLA3	-	H. sapiens	140	0.0113278670029103
hs17	48445218	48450575	MRPL27	-	H. sapiens	141	0.0112184873538045
hs15	40674922	40686447	KNSTRN	+	H. sapiens	142	0.0110851920601344
hs15	41624892	41673248	NUSAP1	+	H. sapiens	143	0.0109673071632177
hs1	14925200	15444539	KAZN	+	H. sapiens	144	0.0109496627530494
hs16	50347398	50402845	BRD7	-	H. sapiens	145	0.0109011293778947
hs5	76986991	77164604	TBCA	-	H. sapiens	146	0.0108835511255505
hs19	14230321	14247768	ASF1B	-	H. sapiens	147	0.0108818233624499
hs3	113465866	113530903	ATP6V1A	+	H. sapiens	148	0.0108329172133397
hs2	70314585	70316332	PCBP1	+	H. sapiens	149	0.010832585119039
hs20	45837859	45985567	ZMYND8	-	H. sapiens	150	0.0108217067226037
hs6	44081194	44095194	MRPL14	-	H. sapiens	151	0.0107711301621157
hs9	101493611	101559247	ANKS6	-	H. sapiens	152	0.0105885973704235
hs1	89445139	89458643	RBMXL1	-	H. sapiens	153	0.0105665695895876
hs12	109535379	109548797	UNG	+	H. sapiens	154	0.0105645710610559
hs1	45805342	45809647	TOE1	+	H. sapiens	155	0.0104150586254094
hs12	57106212	57125412	NACA	-	H. sapiens	156	0.010338195908434
hs12	70636774	70748773	CNOT2	+	H. sapiens	157	0.0103015501716919
hs16	89627065	89630950	RPL13	+	H. sapiens	158	0.0102681472111975
hs5	85913721	85916779	COX7C	+	H. sapiens	159	0.0102644620846231
hs8	91070836	91107703	CALB1	-	H. sapiens	160	0.0102318122617436
hs11	74204896	74380162	POLD3	+	H. sapiens	161	0.0101821546729493
hs17	57784553	57919616	VMP1	+	H. sapiens	162	0.0101735661162438
hs8	56979854	56987069	RPS20	-	H. sapiens	163	0.0101195521216588
hs22	24951471	25005947	SNRPD3	+	H. sapiens	164	0.00999608085738257
hs5	89767565	89810370	POLR3G	+	H. sapiens	165	0.00998436214097287
hs12	49582519	49667114	TUBA1C	+	H. sapiens	166	0.00997759777991136
hs4	17812525	17846485	NCAPG	+	H. sapiens	167	0.00994037073792409
hs21	44299754	44333414	NDUFV3	+	H. sapiens	168	0.00992139896563282
hs10	94353043	94415150	KIF11	+	H. sapiens	169	0.00989901607891752
hs17	8280838	8286531	RPL26	-	H. sapiens	170	0.00989234419100138
hs2	232318242	232348352	NCL	-	H. sapiens	171	0.00983342690333722
hs12	123717463	123742506	C12orf65	+	H. sapiens	172	0.0096057822679787
hs1	64239693	64647181	ROR1	+	H. sapiens	173	0.00955580142162182
hs22	21996550	21998587	SDF2L1	+	H. sapiens	174	0.00939498166826247
hs2	85833777	85839189	C2orf68	-	H. sapiens	175	0.00926498282782628
hs19	45909467	45914024	CD3EAP	+	H. sapiens	176	0.00909189134501609
hs7	100032905	100034188	PPP1R35	-	H. sapiens	177	0.00908222013691939
hs14	67761088	67826982	ATP6V1D	-	H. sapiens	178	0.00896027636004793
hs13	43597339	43683045	DNAJC15	+	H. sapiens	179	0.00894878406629007
hs16	15959577	15982482	FOPNL	-	H. sapiens	180	0.00894281251840623
hs12	105380088	105443515	C12orf45	+	H. sapiens	181	0.00890716149843307
hs6	75947391	75960039	COX7A2	-	H. sapiens	182	0.00887902323788525
hs12	79257773	79845788	SYT1	+	H. sapiens	183	0.00880925522275544
hs7	98923521	98985787	ARPC1A	+	H. sapiens	184	0.00870750390059127
hs11	17095936	17099334	RPS13	-	H. sapiens	185	0.00870627037086014
hs11	111473115	111601577	SIK2	+	H. sapiens	186	0.00867046738003951
hs12	46576846	46663800	SLC38A1	-	H. sapiens	187	0.00864401149058247
hs17	1247566	1303672	YWHAE	-	H. sapiens	188	0.00859048733109657
hs2	183982241	184026408	NUP35	+	H. sapiens	189	0.00859012199372822
hs7	136912088	137028611	PTN	-	H. sapiens	190	0.00855051523520756
hs5	149822753	149829319	RPS14	-	H. sapiens	191	0.00848741873552938
hs12	53773960	53810230	SP1	+	H. sapiens	192	0.00846933496440316
hs11	47487496	47587121	CELF1	-	H. sapiens	193	0.00846572181251559
hs16	3348832	3355729	TIGD7	-	H. sapiens	194	0.00845968691402932
hsX	100600649	100604184	TIMM8A	-	H. sapiens	195	0.00840620973939066
hs20	3734155	3749034	C20orf27	-	H. sapiens	196	0.0083009569697815
hs16	85832239	85840650	COX4I1	+	H. sapiens	197	0.00827220365617365
hs11	64833772	64851636	CDCA5	-	H. sapiens	198	0.00823689488512069
hs19	1905213	1926016	SCAMP4	+	H. sapiens	199	0.00819846096157395
hs5	89688078	89705603	CETN3	-	H. sapiens	200	0.00815768145028961
hs4	113558120	113578748	LARP7	+	H. sapiens	201	0.00810190982518622
hs12	132621139	132628880	DDX51	-	H. sapiens	202	0.00806388612152265
hs2	174219548	174233725	CDCA7	+	H. sapiens	203	0.00801857676803064
hs6	158244296	158366109	SNX9	+	H. sapiens	204	0.00798689637370498
hs2	101618177	101640494	RPL31	+	H. sapiens	205	0.00793652960954738
hs19	1259384	1274879	CIRBP	+	H. sapiens	206	0.00791622202964559
hs7	23349828	23510086	IGF2BP3	-	H. sapiens	207	0.00787023176910739
hs2	32092878	32264881	DPY30	-	H. sapiens	208	0.00783328861704446
hs5	137475455	137514675	BRD8	-	H. sapiens	209	0.00777495740885614
hs4	109541722	109551568	RPL34	+	H. sapiens	210	0.00771888057100445
hs1	109941653	109969062	PSMA5	-	H. sapiens	211	0.00756908213760654
hs12	14939410	14956474	WBP11	-	H. sapiens	212	0.00754542363996669
hs6	111580551	111592370	KIAA1919	+	H. sapiens	213	0.00753203224441545
hs17	46147414	46178883	CBX1	-	H. sapiens	214	0.00743087371718043
hs3	11831916	11888393	TAMM41	-	H. sapiens	215	0.00731371588517615
hs15	41186628	41196173	VPS18	+	H. sapiens	216	0.00727725635592424
hs16	68055179	68057770	DDX28	-	H. sapiens	217	0.00727710652724445
hs2	42560686	42652228	COX7A2L	-	H. sapiens	218	0.00727457214764449
hs4	108511433	108641608	PAPSS1	-	H. sapiens	219	0.00719712665546657
hs11	65769550	65771620	BANF1	+	H. sapiens	220	0.00713942501180986
hs17	73663196	73704142	SAP30BP	+	H. sapiens	221	0.00710841036955523
hs7	44836279	44864163	PPIA	+	H. sapiens	222	0.00706490146720207
hs19	13056669	13064456	RAD23A	+	H. sapiens	223	0.00705631614706503
hs19	14627897	14676792	TECR	+	H. sapiens	224	0.00699619777760263
hs3	49866034	49894007	TRAIP	-	H. sapiens	225	0.00698047653596023
hs5	59892739	59996017	DEPDC1B	-	H. sapiens	226	0.00697501062659633
hs17	79848666	79858867	ANAPC11	+	H. sapiens	227	0.00691214992417011
hs1	1337288	1342693	MRPL20	-	H. sapiens	228	0.00678848019801559
hs9	71650175	71715094	FXN	+	H. sapiens	229	0.00676487387321922
hs9	140476531	140484942	ZMYND19	-	H. sapiens	230	0.0066784566035567
hs17	76849059	76921469	TIMP2	-	H. sapiens	231	0.00657753794566407
hsMT	10470	10766	MT-ND4L	+	H. sapiens	232	0.00657612449256417
hs1	54382247	54411602	HSPB11	-	H. sapiens	233	0.00655072297400594
hsMT	5904	7445	MT-CO1	+	H. sapiens	234	0.00653891839530163
hs19	15337730	15344246	EPHX3	-	H. sapiens	235	0.00652916606303122
hs1	21069154	21113816	HP1BP3	-	H. sapiens	236	0.0064782682385357
hs12	6980099	6998522	SPSB2	-	H. sapiens	237	0.00642726212390365
hs1	245014468	245027844	HNRNPU	-	H. sapiens	238	0.00639099181065428
hs9	139756571	139760738	EDF1	-	H. sapiens	239	0.0063688137341924
hs12	56498103	56507691	PA2G4	+	H. sapiens	240	0.00629615542306927
hs19	55896713	55914612	RPL28	+	H. sapiens	241	0.00627765481658005
hs1	154127784	154167124	TPM3	-	H. sapiens	242	0.00625232073782001
hs2	113033171	113097640	ZC3H6	+	H. sapiens	243	0.006206984732118
hs11	119205237	119208023	RNF26	+	H. sapiens	244	0.00617421469623547
hs4	83273651	83295656	HNRNPD	-	H. sapiens	245	0.00607154952564504
hs15	34432875	34502297	KATNBL1	-	H. sapiens	246	0.00586823859357344
hs2	98372799	98612388	TMEM131	-	H. sapiens	247	0.00585524022248363
hs2	122494679	122525429	TSN	+	H. sapiens	248	0.0058475342710349
hs14	64150932	64194757	SGPP1	-	H. sapiens	249	0.00580148038077755
hs7	150065879	150109558	ZNF775	+	H. sapiens	250	0.00579613611308938
hs4	120218207	120225600	C4orf3	-	H. sapiens	251	0.00578765039325901
hs17	56066399	56082614	RP11-159D12.5	-	H. sapiens	252	0.00576756785884891
hs11	62599814	62609281	WDR74	-	H. sapiens	253	0.00576356321704385
hs5	137620954	137674044	CDC25C	-	H. sapiens	254	0.00576082773043574
hs19	50094900	50129696	PRR12	+	H. sapiens	255	0.00569460187407211
hs12	118470712	118500235	WSB2	-	H. sapiens	256	0.00552603377253125
hs8	37887859	37917883	EIF4EBP1	+	H. sapiens	257	0.00527732041757867
hs19	12917394	12924452	RNASEH2A	+	H. sapiens	258	0.00521807731247681
hs1	197053258	197115824	ASPM	-	H. sapiens	259	0.00515803599253306
hs7	36429415	36493400	ANLN	+	H. sapiens	260	0.00509473190904541
hs2	220114433	220142892	TUBA4A	-	H. sapiens	261	0.00498574510449878
hs19	48885827	48894810	KDELR1	-	H. sapiens	262	0.00496961057530154
hs9	131483148	131486406	ZDHHC12	-	H. sapiens	263	0.00491011144568232
hs5	141689992	141706020	SPRY4	-	H. sapiens	264	0.00489735924273127
hs19	10244021	10341962	DNMT1	-	H. sapiens	265	0.00483016780050849
hs15	30916697	31065196	ARHGAP11B	+	H. sapiens	266	0.00481184041381677
hs8	145743376	145750557	LRRC14	+	H. sapiens	267	0.00471938301772179
hs18	3247479	3256234	MYL12A	+	H. sapiens	268	0.00461180079659551
hs2	26987157	27023935	CENPA	+	H. sapiens	269	0.00461039459240165
hs16	2510081	2514964	C16orf59	+	H. sapiens	270	0.00454541012202769
hs6	166733216	166756079	SFT2D1	-	H. sapiens	271	0.00451563725840376
hs12	2985424	2998626	RHNO1	+	H. sapiens	272	0.00446930698314563
hs17	28804380	28854610	GOSR1	+	H. sapiens	273	0.00441886727066754
hs3	16299485	16306479	DPH3	-	H. sapiens	274	0.00439110532612996
hs10	120927215	120938345	PRDX3	-	H. sapiens	275	0.00433856611496031
hs4	6271576	6304992	WFS1	+	H. sapiens	276	0.0043066462689052
hs22	35653445	35691800	HMGXB4	+	H. sapiens	277	0.00428637511296948
hs3	15083967	15106842	MRPS25	-	H. sapiens	278	0.00424165192953774
hs8	145515280	145538385	HSF1	+	H. sapiens	279	0.00421118945058219
hs16	69345259	69358949	VPS4A	+	H. sapiens	280	0.00408975452875948
hs5	141000443	141016437	HDAC3	-	H. sapiens	281	0.00403110517672856
hs7	3341080	4308632	SDK1	+	H. sapiens	282	0.00399427812044084
hs11	105921825	105948492	KBTBD3	-	H. sapiens	283	0.00399387861761136
hs3	128444965	128533639	RAB7A	+	H. sapiens	284	0.00388980211716861
hs19	4044362	4066943	ZBTB7A	-	H. sapiens	285	0.00383263687199331
hsX	69353299	69386174	IGBP1	+	H. sapiens	286	0.00381908008513843
hs4	666225	668127	ATP5I	-	H. sapiens	287	0.00372992658728821
hs12	85253492	85307394	SLC6A15	-	H. sapiens	288	0.00372587145309744
hs19	2321516	2328619	LSM7	-	H. sapiens	289	0.00371530833891587
hs3	49711435	49721396	APEH	+	H. sapiens	290	0.00371507195602283
hs5	1801514	1816719	NDUFS6	+	H. sapiens	291	0.00359543397930973
hs12	6601150	6603007	MRPL51	-	H. sapiens	292	0.00355205254972812
hs6	170844205	170862429	PSMB1	-	H. sapiens	293	0.00351645020434643
hs6	43639040	43655528	MRPS18A	-	H. sapiens	294	0.00348682013589896
hs19	8509651	8553998	HNRNPM	+	H. sapiens	295	0.00347074666854308
hs16	684429	686358	C16orf13	-	H. sapiens	296	0.00342565881257295
hs1	155278539	155290457	FDPS	+	H. sapiens	297	0.00335306596848961
hs19	11071598	11176071	SMARCA4	+	H. sapiens	298	0.00334975879606503
hsX	77081861	77151090	MAGT1	-	H. sapiens	299	0.00333686860095028
hs15	44829255	44855227	EIF3J	+	H. sapiens	300	0.00328627340364163
hs14	96505661	96560417	C14orf132	+	H. sapiens	301	0.00326678006089542
hs8	55047770	55060461	MRPL15	+	H. sapiens	302	0.00323413426897223
hs19	37597636	37663643	ZNF585A	-	H. sapiens	303	0.00322764516226481
hs1	184356192	184598154	C1orf21	+	H. sapiens	304	0.0031649059393728
hs8	145137493	145141119	GPAA1	+	H. sapiens	305	0.00314650263923133
hs1	222841355	222886552	AIDA	-	H. sapiens	306	0.00308003204372176
hs2	86730554	86948245	CHMP3	-	H. sapiens	307	0.00307076643886706
hs22	42454358	42466846	NAGA	-	H. sapiens	308	0.00302534752725525
hs10	12110971	12165224	DHTKD1	+	H. sapiens	309	0.0030077217488772
hs17	37884749	37887040	MIEN1	-	H. sapiens	310	0.00299125591391269
hs21	18965971	18985265	BTG3	-	H. sapiens	311	0.00298127608544185
hs2	240831867	240964819	NDUFA10	-	H. sapiens	312	0.00297822764655153
hs19	39971052	39984422	TIMM50	+	H. sapiens	313	0.00294782127659288
hs11	118967213	118979041	DPAGT1	-	H. sapiens	314	0.00294045055226388
hsMT	8527	9207	MT-ATP6	+	H. sapiens	315	0.00292482238664882
hs16	2961938	3001209	FLYWCH1	+	H. sapiens	316	0.00287723521803185
hs4	74861359	74864496	CXCL5	-	H. sapiens	317	0.00285422127677148
hs1	180244515	180472089	ACBD6	-	H. sapiens	318	0.00282264886868877
hsX	44382885	44402247	FUNDC1	-	H. sapiens	319	0.00280655778761718
hs8	86376081	86393722	CA2	+	H. sapiens	320	0.0027482923868748
hs1	95362507	95392834	CNN3	-	H. sapiens	321	0.00274637747194473
hs1	8921061	8939308	ENO1	-	H. sapiens	322	0.00273343314304486
hs1	52521797	52556388	BTF3L4	+	H. sapiens	323	0.00272328573741254
hs1	25568728	25664704	C1orf63	-	H. sapiens	324	0.00272326433416215
hs17	79845713	79849462	ALYREF	-	H. sapiens	325	0.00271920845703733
hs18	66340925	66382535	TMX3	-	H. sapiens	326	0.00267280968419858
hs2	26149471	26205618	KIF3C	-	H. sapiens	327	0.00266539498798724
hs1	42642210	42801548	FOXJ3	-	H. sapiens	328	0.0026567786153634
hs3	31574130	31679112	STT3B	+	H. sapiens	329	0.00265512819530711
hs15	80125927	80189721	MTHFS	-	H. sapiens	330	0.00265375083228803
hs8	80523049	80578410	STMN2	+	H. sapiens	331	0.0026407683055828
hs11	93211638	93276674	SMCO4	-	H. sapiens	332	0.00260225475383802
hsX	100805514	100809683	ARMCX1	+	H. sapiens	333	0.00258251087641304
hs4	174252846	174256276	HMGB2	-	H. sapiens	334	0.0025742402006842
hs14	50704281	50779266	L2HGDH	-	H. sapiens	335	0.00256980702757903
hs19	10501810	10530797	CDC37	-	H. sapiens	336	0.00254605403106734
hs13	30338508	30424821	UBL3	-	H. sapiens	337	0.00254332443973726
hs19	13884982	13889276	C19orf53	+	H. sapiens	338	0.00253907659797292
hs12	49521565	49525180	TUBA1B	-	H. sapiens	339	0.00253157764496192
hs3	43396351	43733086	ANO10	-	H. sapiens	340	0.00252435492306335
hs1	155216996	155225274	FAM189B	-	H. sapiens	341	0.00246046544639211
hs12	124069078	124083116	TMED2	+	H. sapiens	342	0.00244536625464398
hs7	16685756	16746148	BZW2	+	H. sapiens	343	0.00244383898579148
hs7	102004319	102067123	PRKRIP1	+	H. sapiens	344	0.00241490508449405
hs17	30677136	30708905	ZNF207	+	H. sapiens	345	0.00241234972760851
hs14	77490888	77495034	IRF2BPL	-	H. sapiens	346	0.00241059306852187
hs9	124999903	125027118	RBM18	-	H. sapiens	347	0.00237176991724353
hs18	28645940	28682378	DSC2	-	H. sapiens	348	0.00235633953469705
hs5	65892176	66465423	MAST4	+	H. sapiens	349	0.00233895199036116
hs19	50691443	50813802	MYH14	+	H. sapiens	350	0.00233661531819418
hs1	95699711	95712781	RWDD3	+	H. sapiens	351	0.00233268858016888
hs3	40547483	40560227	ZNF620	+	H. sapiens	352	0.00232366825871511
hs9	127624409	127640003	ARPC5L	+	H. sapiens	353	0.00231617158267838
hs5	150040436	150058927	MYOZ3	+	H. sapiens	354	0.00231449572631304
hs7	79763271	79848718	GNAI1	+	H. sapiens	355	0.00231331458933837
hs15	56922379	57210769	ZNF280D	-	H. sapiens	356	0.00228983057647436
hs1	35641979	35658749	SFPQ	-	H. sapiens	357	0.0022572163809329
hs16	3355406	3368852	ZNF75A	+	H. sapiens	358	0.00224067612049694
hs21	45527171	45551063	PWP2	+	H. sapiens	359	0.00222689901313489
hs19	1554668	1568057	MEX3D	-	H. sapiens	360	0.0022253535930985
hs22	24313554	24322660	DDT	-	H. sapiens	361	0.00221669877031982
hs12	104609557	104744061	TXNRD1	+	H. sapiens	362	0.00221506324911902
hs2	198351305	198381461	HSPD1	-	H. sapiens	363	0.00221120053452584
hs1	183592401	183604892	ARPC5	-	H. sapiens	364	0.00220796377886534
hs9	71939488	72007371	FAM189A2	+	H. sapiens	365	0.00220581851793489
hsX	80369200	80457441	HMGN5	-	H. sapiens	366	0.00219946062888643
hs5	174904065	174956745	SFXN1	+	H. sapiens	367	0.00219246280453511
hs3	41236328	41301587	CTNNB1	+	H. sapiens	368	0.00218972336547485
